工作流,修改类别,问题详细描述,BUG发现日期,BUG等级,解决方案,修改人,修改日期,修改适用范围,修改的基线版本,目标版本,备注
minas_vss,缺陷修复,将SDMA配置：各参数配置范围改为与老网管一样。,,,,方平,2013-9-26,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,将N=1参数配置的各参数配置范围：各参数配置范围改为与老网管一样。,,,,方平,2013-9-26,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,数据包过滤过滤准则下发中显示不正确,,,,朱晓战,2013-9-26,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,邻接表配置个数限制,,,,朱晓战,2013-9-26,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,系统有效频点中无法修改新增的有效频点,,,,朱晓战,2013-9-26,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,修复配置验证无法打开故障弱化界面的问题,,,,田策,2013-9-26,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,调整数据服务几个控件的相互作用,,,,田策,2013-9-26,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,修复管理员角色暂停使用问题：对某账号暂停使用，但该账号仍然可正常登陆并执行操作。,,,,樊浩宇,2013-9-26,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,修复管理员角色有效期问题：账号已过期，但该账号仍然可正常登陆并执行操作。,,,,樊浩宇,2013-9-26,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,添加删除用户前提示,,,,樊浩宇,2013-9-26,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,新增操作员用户角色，并为不同级别的用户设定不同权限,,,,樊浩宇,2013-9-27,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,修复用户登录后，用户信息未初始化问题,,,,樊浩宇,2013-9-27,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,修复终端版本下载中的bug,,,,田策,2013-9-27,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,替换界面一些图标,,,,田策,2013-9-27,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,"重构终端管理,下载的功能,去掉修改和查看功能",,,,田策,2013-9-27,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,终端别名中文字符显示乱码,,,,朱晓战,2013-9-27,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,终端版本强制升级设置规则重复显示问题,,,,朱晓战,2013-9-27,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,有效频点下发给基站与从基站获取的不一致（3.3G类型的）,,,,朱晓战,2013-9-27,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,当终端正在升级时，增加了弹出是否查看当前升级进度的对话框,,,,朱晓战,2013-9-29,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,向hlr查询终端时，增加了判断hlr是否支持分包发送的功能,,,,朱晓战,2013-9-29,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,终端列表界面中的工具栏在windows经典模式下显示不正常,,,,朱晓战,2013-9-29,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,终端管理删除终端版本时验证是否在强制升级中存在,,,,田策,2013-9-29,,01.01.03.07,01.01.03.08,
minas_vss,新增功能,"增加终端升级断点续传功能,不过貌似基站版本低会报不支持,返回0800",,,,田策,2013-9-29,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,修复RF板状态中的错误,,,,田策,2013-9-29,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,"添加网口2,IPV6和SDMA的模板数据",,,,田策,2013-9-29,,01.01.04.03,01.01.04.04,
minas_vss,缺陷修复,修改数据包过滤准则配置群发逻辑,,,,樊浩宇,2013-9-30,,01.01.04.03,01.01.04.04,
minas_vss,缺陷修复,修改切换优化开关群发逻辑,,,,樊浩宇,2013-9-30,,01.01.04.03,01.01.04.04,
minas_vss,缺陷修复,修复服务等级配置TOS范围，1-256改为0-255，修改后台群发逻辑,,,,樊浩宇,2013-9-30,,01.01.04.03,01.01.04.04,
minas_vss,缺陷修复,修复微蜂窝基站空中链路业务w0信息bug,,,,樊浩宇,2013-9-30,,01.01.04.03,01.01.04.04,
minas_vss,缺陷修复,修复登录界面服务器配置下拉框内容可直接修改的bug,,,,樊浩宇,2013-9-30,,01.01.04.03,01.01.04.04,
minas_vss,缺陷修复,修复配置登录服务器bug,,,,樊浩宇,2013-9-30,,01.01.04.03,01.01.04.04,
minas_vss,缺陷修复,用户管理中，修改在线用户信息时，提示修改的信息等到被修改的用户下次登录时生效,,,,樊浩宇,2013-9-30,,01.01.04.03,01.01.04.04,
minas_vss,缺陷修复,修复基站列表中搜索功能，基站搜索时，在BTS ID中输入“08”得到的搜索结果是含有“8”的BTS ID,,,,樊浩宇,2013-9-30,,01.01.04.04,01.01.04.05,
minas_vss,缺陷修复,模板管理重构,,,,田策,2013-10-10,,01.01.04.04,01.01.04.05,
minas_vss,缺陷修复,配置验证重构,,,,田策,2013-10-10,,01.01.04.04,01.01.04.05,
minas_vss,缺陷修复,终端版本管理和下载增加对各种错误的拦截和提示,,,,田策,2013-10-11,,01.01.04.04,01.01.04.05,
minas_vss,缺陷修复,基站版本管理和下载增加对各种错误的拦截和提示,,,,田策,2013-10-11,,01.01.04.04,01.01.04.05,
minas_vss,缺陷修复,删除基站时发生错误的修复,,,,田策,2013-10-11,,01.01.04.04,01.01.04.05,
minas_vss,缺陷修复,"修复基站批量升级归档的问题,界面列表高度变小的问题",,,,田策,2013-10-11,,01.01.04.04,01.01.04.05,
minas_vss,缺陷修复,对邻接表配置进行优化,,,,朱晓战,2013-10-16,,01.01.04.04,01.01.04.05,
minas_vss,缺陷修复,告警模块优化,,,,陈俊华,2013-10-16,,01.01.04.04,01.01.04.05,
minas_vss,缺陷修复,基站管理模式重构,,,,陈俊华,2013-10-16,,01.01.04.04,01.01.04.05,
minas_vss,新增功能,新增公共信道配置信息导入导出功能,,,,樊浩宇,2013-10-16,,01.01.04.04,01.01.04.05,
minas_vss,缺陷修复,基站批量升级,,,,朱晓战,2013-10-25,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,故障弱化模块,,,,朱晓战,2013-10-16,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,为WCPE和RCPE增加了提示信息,,,,朱晓战,2013-10-16,,01.01.04.05,01.01.05.01,
minas_vss,新增功能,地域管理,,,,田策,2013-10-16,,01.01.04.05,01.01.05.01,
minas_vss,新增功能,同播资源的管理,,,,田策,2013-10-16,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,重构数据包过滤准则,,,,田策,2013-10-24,,01.01.04.05,01.01.05.01,
minas_vss,新增功能,新增位置区自动搜索功能,,,,田策,2013-10-24,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,修复基站列表的搜索功能,,,,田策,2013-10-23,,01.01.04.05,01.01.05.01,
minas_vss,新增功能,"新增基站页面,设置基站类型,基站模板跟随基站类型进行筛选的功能",,,,田策,2013-10-23,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,增加了ftp没有开启时的一些错误提示,,,,田策,2013-10-23,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,修改L3配置中的“切换优化开关配置”名称为“切换优化开关下发”,,,,樊浩宇,2013-10-16,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,修改“位置区”业务，新增位置区信息时，位置区ID的最后两位16进制数应该大于10进制的1且小于255,,,,樊浩宇,2013-10-16,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,修改“ACL配置”业务中，特殊情况下能够新增完全相同的ACL配置信息的问题,,,,樊浩宇,2013-10-16,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,修改“基站模板管理”业务中能够添加相同名称的模板问题,,,,樊浩宇,2013-10-17,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,修改“基站模板管理”业务，把V5和微蜂窝基站中的“RRU环境参数”项移除，因为这两种基站无此配置,,,,樊浩宇,2013-10-17,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,修改“基站模板管理”业务，修改了编辑模板时，点击“取消”按钮后，之前做的更改都恢复时存在的bug,,,,樊浩宇,2013-10-17,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,修改“系统有效频点配置”业务规则：当选择优先扫有效频点和仅扫有效频点时，若基站的中心频点不在频点集中，把这些频点提示用户添加到频点集中才能下发,,,,樊浩宇,2013-10-18,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,将SDMA、数据包过滤、加入到了同步配置中，自学习后若基站不支持，可以将相应功能菜单项屏蔽,,,,樊浩宇,2013-10-21,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,修改“导出公共信道配置信息”业务中，导出的文件中“时隙总数”和“下行时隙数”两列列名颠倒的bug,,,,樊浩宇,2013-10-21,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,修改“导入和导出公共信道配置信息”客户端入口，把两个业务入口放在一个“公共信道配置”中,,,,樊浩宇,2013-10-21,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,"修改“用户管理”中，“可删除在线用户:删除后,未退出的在线用户仍可一直使用”的bug",,,,樊浩宇,2013-10-22,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,修改客户端登陆时，每次默认显示的用户名都是admin的bug，改为登录时显示上次登录的用户名,,,,樊浩宇,2013-10-22,,01.01.04.05,01.01.05.01,
